text,label
My friend taught me a new mahjong trick yesterday.,0
Are you going to visit your relatives for Hari Raya?,1
The chicken rice from that stall is really very fragrant.,0
What time does the neighbourhood barber shop open?,1
I enjoy listening to old classic Chinese songs on the radio.,0
Did you remember to take your medication this morning?,1
The HDB lift sometimes breaks down in the middle of the night.,0
Will you be attending the Deepavali open house at your friend's place?,1
My back is aching a bit after doing house chores.,0
Have you ever tried the Putu Mayam from the Indian stall?,1
The park connector network is great for morning walks.,0
Do you think we should bring an umbrella today?,1
I remember when Orchard Road had fewer tall buildings.,0
What are you cooking for dinner tonight?,1
My son-in-law helps me with my smartphone settings.,0
Is the market going to close early for the holiday?,1
I prefer taking the bus because it's less crowded than the MRT.,0
Did you get a good deal on the prawns at the wet market?,1
The community garden is looking very colourful these days.,0
Do you still visit the old provision shop near the canal?,1
I went for a check-up at the polyclinic last week.,0
Are you planning to celebrate Chinese New Year with a big reunion dinner?,1
The queues for the popular stalls at the hawker centre are always so long.,0
What's your favourite dish to eat at a kopitiam?,1
I enjoy watching the getai performances during the Lunar Seventh Month.,0
Have you seen the latest changes to the bus routes?,1
My grandchildren love playing at the playground downstairs.,0
Did you manage to catch the sunset from your window yesterday?,1
I like to read the newspaper every morning with my kopi.,0
Is the new senior activity centre open for registration yet?,1
The durians are getting more expensive this season.,0
I remember buying my school uniform from that tailor shop.,0
What an interesting story about old Singapore you shared!,0
Did you receive your angbao from your children this year?,1
The food court at the new mall has so many choices.,0
"Will it rain later, do you think?",1
I sometimes miss the simplicity of life in the past.,0
Have you heard about the new health screening programme for seniors?,1
My neighbour brings me freshly baked goodies sometimes.,0
What's your favourite type of local dessert?,1
I like to spend my afternoons tending to my small garden.,0
Are you going to the supermarket later to buy groceries?,1
The hawker food here is very affordable and delicious.,0
Is the void deck usually used for wedding ceremonies these days?,1
I sometimes feel lonely when my children are busy.,0
Do you know when the next block party will be?,1
My favourite memory is celebrating National Day with my family.,0
What's the best way to get to the Changi Airport Terminal 4?,1
"I think I will cook some porridge tonight, it's easy to digest.",0
Have you visited the new public library in the town centre?,1
The MRT station near my home is always very clean.,0
Did you manage to finish your current drama series?,1
I used to take the ferry to go to Pulau Ubin many years ago.,0
Should we get some traditional kueh from the market for tea?,1
My doctor says I need to exercise more regularly.,0
What's your biggest worry these days?,1
I am looking forward to seeing my grandchildren during the school holidays.,0
Do you still go for regular check-ups at the polyclinic?,1
The new bus stop shelter has very good seating.,0
Is it true that the hawker centre will be closed for renovation next month?,1
I like to buy my bread from the neighbourhood bakery.,0
Have you seen the beautiful fireworks display from your HDB?,1
My legs feel tired after standing for a long time.,0
What do you do to relax after a long day?,1
I enjoy listening to the birds chirping in the morning.,0
Did you manage to find parking at the market today?,1
The coffee at the kopitiam near the office is very good.,0
Are you going to celebrate your birthday with a small gathering?,1
I remember when they used to sell ice-cream from pushcarts.,0
What's your favourite memory from your childhood in Singapore?,1
My grandchildren always ask me to tell them stories about the old days.,0
Do you know where I can find a good tailor to mend my clothes?,1
I prefer cooking at home because it's healthier.,0
Is the new community garden open for volunteers?,1
The rain made the air feel much cooler today.,0
Have you considered taking up a new hobby in your retirement?,1
I miss the taste of traditional nonya kueh from my younger days.,0
What's the best way to keep cool during this hot weather?,1
My friend and I usually go for a walk along the reservoir.,0
"The weather today is so hot, isn't it?",1
My grandchildren are visiting me this Sunday.,0
Did you manage to get a good deal at the wet market?,1
I prefer drinking kopi-o kosong at the kopitiam.,0
Remember the old kampong days?,1
I saw a long queue for the durian stall yesterday.,0
Are you going to the polyclinic for your check-up soon?,1
My knees sometimes ache after a long walk.,0
What are your plans for Chinese New Year?,1
I need to buy some new clothes for the visiting period.,0
Have you heard about the new bus route?,1
The MRT station near my house is very convenient.,0
I enjoy watching the evening news every day.,0
Is the market open early on weekdays?,1
I bought some fresh fish for dinner tonight.,0
Do you still go for your morning tai chi?,1
My neighbour shared some delicious popiah with me.,0
How much was the angbao for your grandnieces this year?,1
I think the prices at the supermarket have gone up again.,0
Did you watch the Getai show on Channel 8 last night?,1
My son drove me to the Botanic Gardens yesterday.,0
Are you taking the bus or MRT to town?,1
I like to read the newspaper with my morning coffee.,0
What do you think about the new community garden?,1
I planted some chilli padi in my HDB corridor.,0
Do you remember the old cinema at Toa Payoh?,1
I met my old school friend at the hawker centre yesterday.,0
The traffic was very bad this morning.,0
Did you manage to catch the National Day Parade?,1
I always buy my vegetables from the same stallholder.,0
Is it going to rain later today?,1
My daughter cooked a delicious curry chicken.,0
Have you seen the new mural painting near the void deck?,1
I enjoy listening to old Chinese songs on the radio.,0
Do you still use the library regularly?,1
I walked to the park this morning for some exercise.,0
What's your favourite dish at this hawker centre?,1
I love the char kway teow here; it's so fragrant.,0
My son booked me an appointment at the polyclinic.,0
Is your air-conditioning working well in this heat?,1
I had a good nap after lunch today.,0
Do you remember when they used to sell ice-cream from a cart?,1
Have you seen the price of durians lately?,1
I think I will just stay home and relax this weekend.,0
Did you manage to watch the Chingay Parade this year?,1
I always take the priority seat on the bus.,0
What time does the neighbourhood provision shop close?,1
I need to top up my EZ-Link card later.,0
Have you bought your 4D or Toto ticket yet?,1
"I only play sometimes, just for fun.",0
Is your favourite bak kut teh stall still open?,1
I prefer the peppery Teochew style bak kut teh.,0
Do you remember the old school tuckshop food?,1
I used to love the economical rice there.,0
The doctor advised me to eat less salt.,0
Are you joining the community centre activities?,1
I enjoy the morning exercises at the park.,0
What a big crowd at the wet market today!,0
Is the new bus interchange ready yet?,1
I think I will take a Grab to the hospital.,0
Did you hear the news about the new housing grants?,1
My neighbour just got a new pet dog.,0
Do you like laksa or prawn mee better?,1
I always go for the prawn mee with extra chilli.,0
Have you finished your spring cleaning for CNY?,1
My children helped me clean the house last weekend.,0
Is the kopitiam still serving the same good coffee?,1
I think the coffee here is still the best in the neighbourhood.,0
Do you remember when trains used to be non-air-conditioned?,1
I used to bring a hand fan everywhere I went.,0
The public library is a good place to relax.,0
Have you visited the new exhibition at the museum?,1
I plan to go there with my daughter next month.,0
Is it humid again today?,1
I need to switch on the fan.,0
Did you watch the Mandopop Getai concert on TV?,1
I prefer the traditional Hokkien Getai myself.,0
What time should we meet at the hawker centre?,1
Let's meet at 11:30 AM before the lunch crowd.,0
Have you bought your new spectacles?,1
I need to get mine checked soon.,0
My grandchild is learning to ride a bicycle.,0
Do you think it will rain later?,1
"The sky looks a bit dark, doesn't it?",1
I need to water my plants before the sun gets too hot.,0
What are you cooking for dinner?,1
I think I will just fry some eggs and vegetables.,0
Did you go to the pasar malam last night?,1
I bought some delicious Ramly burger there.,0
Is the lift working properly today?,1
Sometimes it takes a while to arrive.,0
I saw a beautiful rainbow after the rain.,0
Have you finished all your errands for the day?,1
I still need to pick up my medication from the polyclinic.,0
Do you remember the old playgrounds with sand pits?,1
Those were the good old days for children.,0
My daughter is bringing me out for dim sum tomorrow.,0
What time is your appointment with the doctor?,1
I have to be there by ten o'clock sharp.,0
Is the new supermarket cheaper than the old one?,1
"I think some items are cheaper, but not all.",0
Did you see the big tree that fell during the storm?,1
It blocked the entire road for hours.,0
Do you prefer kopi or teh for your breakfast?,1
I always have a cup of strong kopi-c.,0
Have you started preparing for the festive season?,1
I already bought some decorations for my HDB.,0
What's the best route to avoid the evening jam?,1
Taking the MRT is usually faster during peak hours.,0
I miss the taste of traditional kaya toast from the old days.,0
Does this kopitiam still serve it with thick butter?,1
My neighbour's cat always comes to visit me.,0
Have you seen the new public artworks around our estate?,1
I think they add a nice touch to the neighbourhood.,0
Are you joining the brisk walking group tomorrow morning?,1
I try to go at least three times a week.,0
What a beautiful sunrise this morning!,0
Did you remember to take your medication?,1
"Yes, I just took it with my breakfast.",0
I might sign up for the digital skills workshop.,0
How was your trip to the Johor Bahru wet market?,1
It was very crowded but I got some good bargains.,0
I need to call my sister later today.,0
Do you know what time the library opens on Sundays?,1
I think it opens at 11 AM.,0
Have you booked your slot for the flu vaccination?,1
My doctor advised me to get it every year.,0
I saw a group of elderly people doing line dancing at the park.,0
Do you enjoy listening to traditional Chinese opera?,1
"Sometimes, but I prefer Getai for its liveliness.",0
I just try to walk everywhere I can.,0
Did you manage to renew your senior citizen's concession card?,1
"Yes, I did it online last week.",0
The air-conditioning on the MRT is sometimes too cold.,0
Do you bring a jacket when you travel on public transport?,1
"I always bring one, just in case.",0
Have you tried the durian chendol from that dessert stall?,1
"It's so rich and creamy, a real treat.",0
My phone is acting up again.,0
Do you know any good phone repair shops nearby?,1
I think the one at the heartland mall is reliable.,0
What are you reading these days?,1
I'm reading a historical fiction novel about old Singapore.,0
Is the hawker centre very crowded during lunchtime?,1
"It's always packed, especially on weekdays.",0
I need to go to the bank to withdraw some cash.,0
Have you been to the new HDB BTO launch exhibition?,1
"No, but my nephew is interested in applying.",0
Do you remember the old provision shops that sold everything?,1
They had so much character back then.,0
The price of petrol seems to be increasing again.,0
Do you still drive your car often?,1
I only drive for long distances now.,0
My granddaughter taught me how to use WhatsApp.,0
Is it easy to use for video calls?,1
It's quite simple once you get the hang of it.,0
What's your favourite local TV show?,1
I enjoy watching the Channel 8 dramas.,0
Have you made your appointment for the eye check-up?,1
I need to do that next week.,0
The queue for the bus stop was very long this morning.,0
Did you have to wait long?,1
"Luckily, the bus came quickly.",0
I'm thinking of trying a new recipe tonight.,0
What are you making?,1
I found a recipe for traditional Nyonya laksa.,0
Do you think the government will give out more vouchers?,1
"I hope so, everything is getting so expensive.",0
Have you visited the new park connector near our estate?,1
It's very pleasant for an evening stroll.,0
My son is bringing his family over for dinner tonight.,0
What a good opportunity to see your grandchildren!,0
"Yes, but they are very pricey now.",0
Did you remember to water my plants while I was away?,1
"Of course, I watered them every day.",0
I'm thinking of taking a short trip to Malaysia soon.,0
Where are you planning to go?,1
Maybe just to Malacca for the weekend.,0
Have you tried the new cafe that opened downstairs?,1
"No, is their coffee good?",1
I heard their kaya toast is quite authentic.,0
Do you still go for your regular morning walk?,1
"Yes, it helps me stay healthy and active.",0
My neighbour cooked some delicious curry for me.,0
Did you visit the Deepavali bazaar this year?,1
I bought some new clothes for my daughter there.,0
Is the polyclinic appointment system easy to use?,1
My son helped me book it online.,0
I always enjoy watching the Getai during the Seventh Month.,0
Do you prefer the live shows or watching on TV?,1
I like the atmosphere of the live shows better.,0
Have you heard about the new senior-friendly exercise machines?,1
I saw them at the park yesterday.,0
What time is the next bus to the MRT station?,1
I think it should be here in five minutes.,0
My friend and I are going for supper tonight.,0
Are you going to try the famous supper place at Chomp Chomp?,1
We are heading for prata and teh tarik.,0
Did you manage to get all your CNY goodies?,1
I still need to buy some pineapple tarts.,0
The supermarket is always so crowded before public holidays.,0
Do you remember the ice cream man who used to ride a bicycle?,1
Those were the best ice cream sandwiches.,0
My daughter called me from overseas yesterday.,0
Are your grandchildren doing well in school?,1
"Yes, they are all doing great.",0
Have you seen the new community art wall at the void deck?,1
It brightens up the whole place.,0
I need to pick up some medication from the clinic.,0
Is the clinic still open at this hour?,1
I think it closes at 5 PM.,0
The weather forecast said it might rain later.,0
Did you bring an umbrella?,1
I always carry one in my bag.,0
What do you think about the new hawker prices?,1
Some stalls have increased their prices quite a bit.,0
Do you still read the physical newspaper every morning?,1
"Yes, I prefer it over reading on the phone.",0
My old friend from secondary school just moved into my HDB block.,0
What a small world!,0
Have you tried the new bakery at the heartland mall?,1
Their bread is very soft and fresh.,0
Is the shuttle bus to the MRT station still free for seniors?,1
"I think it is, but only during off-peak hours.",0
I miss the sound of the 'ting-a-ling' bell from the bread man.,0
Do you remember those days?,1
"Yes, it brings back so many memories.",0
My son-in-law helped me fix my leaky tap.,0
What a helpful son-in-law!,0
Are you going to the community event this weekend?,1
I heard there will be a free health screening.,0
I need to buy some fresh flowers for my altar.,0
Where do you usually buy them?,1
I go to the florist at the wet market.,0
Have you visited the new exhibition at the ArtScience Museum?,1
"No, but I heard it's very popular.",0
The queue for the famous chicken rice stall is always so long.,0
Is it worth the wait?,1
"I think it is, the chilli sauce is exceptional.",0
My grandchildren are learning to speak Mandarin in school.,0
"That's wonderful, it's a useful skill.",0
Do you prefer taking a taxi or a Grab?,1
I find Grab more convenient with the app.,0
Is your favourite noodle stall at the hawker centre still open?,1
"Yes, and the owner still remembers my order.",0
I went to the polyclinic for my annual health check-up.,0
Did everything turn out okay?,1
"Everything is fine, thank goodness.",0
Have you seen the new variety of kueh at the market?,1
I bought some for tea time.,0
My son booked tickets for us to watch a concert.,0
What kind of concert is it?,1
It's a classical music concert.,0
Do you remember when there were less cars on the road?,1
Traffic was so much lighter back then.,0
I need to charge my mobile phone battery.,0
Did you manage to buy the newspaper this morning?,1
"Yes, I got it from the provision shop downstairs.",0
The new community garden project is progressing well.,0
Are you involved in the gardening activities?,1
I help out with the watering sometimes.,0
I think I will just stay home and enjoy the peace.,0
Their bee hoon is surprisingly delicious.,0
My back sometimes feels stiff after sitting for too long.,0
Do you do any stretching exercises?,1
I try to do some simple stretches every morning.,0
I saw a few elderly friends doing brisk walking at the park.,0
What time do you usually go for your walk?,1
I prefer to go early in the morning before it gets too hot.,0
Did you receive your utilities bill this month?,1
"Yes, I paid it online already.",0
The MRT train was quite crowded during peak hours.,0
Were you able to find a seat?,1
"Luckily, someone offered me their seat.",0
I need to buy some fresh fruits from the wet market.,0
Are the prices for rambutans good this week?,1
"I think they are in season now, so it should be cheaper.",0
My granddaughter is graduating from university soon.,0
What a proud moment for you!,0
Have you bought your angbaos for the coming CNY?,1
I usually prepare them closer to the date.,0
Do you remember the old 'five-foot way' shops?,1
They had so many interesting things to look at.,0
I saw a Getai performance at the temple grounds last night.,0
Was it a lively show?,1
"Yes, the singers were very energetic.",0
The weather looks like it's clearing up.,0
Shall we go for a short walk later?,1
That sounds like a good idea.,0
My son helped me set up my new smart TV.,0
Is it easy to use?,1
"It's a bit complicated, but I'm learning.",0
Did you manage to get a good deal on the groceries?,1
I found some promotions at the supermarket.,0
I need to go to the post office to mail a letter.,0
Is the post office near the hawker centre?,1
